TED_waveform,TED_transcript
348_AJJacobs_2014A,and a lot of the terrible things we 've done to each other is because one group thinks another group is sub human
349_AJJacobs_2014A,and you can 't do that anymore we 're not just part of the same species we 're part of the same family
350_AJJacobs_2014A,we share ninety nine point nine percent of our dna
351_AJJacobs_2014A,now the final one is
352_AJJacobs_2014A,number five a democratizing effect some genealogy has an elitist strain like people say
353_AJJacobs_2014A,<unk> i 'm descended from mary queen of scots and you 're not so you cannot join my country club but
354_AJJacobs_2014A,that 's really going to be hard to do now because everyone is related i 'm descended from mary queen of scots
355_AJJacobs_2014A,by marriage but still <unk> so
356_AJJacobs_2014A,it 's really a fascinating time in the history of family because
357_AJJacobs_2014A,it 's changing so fast there is gay marriage and sperm donors and there 's intermarriage
358_AJJacobs_2014A,<unk> on an unprecedented scale and this makes some of my more conservative cousins a little nervous
359_AJJacobs_2014A,but i actually think it 's a good thing <unk> i think the more inclusive the idea of family is the better
360_AJJacobs_2014A,because then you have more potential caretakers <unk> and as my aunt 's eighth cousin
361_AJJacobs_2014A,twice removed hillary clinton
362_AJJacobs_2014A,<unk> so i have all these hundreds and thousands millions of new cousins i thought what can i do with this information <unk> and that 's when i decided
363_AJJacobs_2014A,why not throw a party <unk> so that 's what i 'm doing <unk> and you 're all invited
364_AJJacobs_2014A,<unk> next year next summer i will be hosting what i hope is the biggest and best family reunion in history
365_AJJacobs_2014A,i want you there i want you there it 's going to be at the new york hall of science <unk> which is
366_AJJacobs_2014A,a great venue <unk> but it 's also on the site of the former world 's fair <unk> which is <unk> i think
367_AJJacobs_2014A,very appropriate because i see this as a family reunion meets a world 's fair there 's going to be exhibits and food music <unk> paul mccartney
368_AJJacobs_2014A,<unk> is eleven steps away so i 'm hoping he brings his guitar
369_AJJacobs_2014A,he hasn 't rsvp 'd yet but fingers crossed <unk> and there is going to be a day of speakers of fascinating cousins
370_AJJacobs_2014A,it 's early but i 've already <unk> i 've got some lined up <unk>
371_AJJacobs_2014A,cass sunstein my cousin who is perhaps the most brilliant legal scholar will be
372_AJJacobs_2014A,<unk> he was a former member of the obama
373_AJJacobs_2014A,administration and on the other side of the political spectrum <unk> george h w bush <unk> number forty one the father he has agreed to participate
374_AJJacobs_2014A,and nick kroll the comedian and dr oz and many more to come
375_AJJacobs_2014A,and of course the most important is that you i want you guys there <unk> and i invite you to to
376_AJJacobs_2014A,<unk> figure out how you 're on the family tree <unk> because these are big issues family and tribe and i i don 't know all the answers <unk> but i have a lot of smart relatives <unk>
377_AJJacobs_2014A,including you guys so together i think we can figure it out only together can we solve these big problems so from
378_AJJacobs_2014A,cousin to cousin i thank you i can 't wait to see you
379_AJJacobs_2014A,<unk> over one point five billion people experience armed conflict
380_AalaElKhani_2016X,in response people are forced to flee their country leaving over fifteen million refugees
381_AalaElKhani_2016X,children without a doubt are the most innocent and vulnerable victims
382_AalaElKhani_2016X,<unk> but not just from the obvious physical dangers <unk> but from the often unspoken effects that wars have on their families <unk>
383_AalaElKhani_2016X,the experiences of war leave children at a real high risk for the development of emotional and behavioral problems
384_AalaElKhani_2016X,children as we can only imagine will feel worried threatened and at risk but there is good news <unk> the quality of care that children receive in their
385_AalaElKhani_2016X,<unk> families
386_AalaElKhani_2016X,can have a more significant effect on their well being than from the actual experiences of war that they have been exposed to
387_AalaElKhani_2016X,so actually children can be protected
388_AalaElKhani_2016X,by warm secure parenting
389_AalaElKhani_2016X,during and after conflict
390_AalaElKhani_2016X,in two thousand and eleven
391_AalaElKhani_2016X,<unk> i was a first year phd student in the university of manchester school of psychological sciences
392_AalaElKhani_2016X,like many of you here <unk> i watched the crisis in syria unfold in front of me on the tv
393_AalaElKhani_2016X,my family is originally from syria and very early on i lost several family members in really horrifying ways
394_AalaElKhani_2016X,i 'd sit and i 'd gather with my family and watch the tv <unk> we 've all seen those scenes bombs destroying
395_AalaElKhani_2016X,<unk> and people screaming and running it was always the people screaming and running that really got me the most especially those terrified looking children <unk>
396_AalaElKhani_2016X,i was a mother to two young typically inquisitive children <unk>
397_AalaElKhani_2016X,they were five and six then at an age where they typically asked lots and lots of questions and expected real convincing answers
398_AalaElKhani_2016X,<unk> i began to wonder
399_AalaElKhani_2016X,what it might be like to parent my children in a war zone and a refugee camp
400_AalaElKhani_2016X,would my children change
401_AalaElKhani_2016X,would my daughter 's bright happy eyes lose their shine would my son 's really relaxed and carefree nature
402_AalaElKhani_2016X,become fearful and withdrawn <unk> how would i cope <unk> would i change
403_AalaElKhani_2016X,as psychologists and parent trainers we know that arming parents with skills
404_AalaElKhani_2016X,<unk> in caring for their children can have a huge effect on their well being and
405_AalaElKhani_2016X,we call this parent training
406_AalaElKhani_2016X,the question i had was could parent training programs be useful for families while they were still in war zones or refugee camps
407_AalaElKhani_2016X,could we reach them with advice or training that would help them through
408_AalaElKhani_2016X,<unk> i approached my phd supervisor <unk> professor rachel calam with the idea of using my academic skills to make some change in the real world
409_AalaElKhani_2016X,i wasn 't quite sure what exactly i wanted to do
410_AalaElKhani_2016X,she listened carefully and patiently <unk> and then to my joy she said if that 's what you want to do <unk> and it means so much to you then let 's do it
411_AalaElKhani_2016X,let 's find ways to see if parent programs can be useful for families in these contexts
412_AalaElKhani_2016X,so for the past five
413_AalaElKhani_2016X,<unk> years myself and my colleagues <unk> prof calam and dr kim cartwright have been working on ways to support families that have experienced war and displacement <unk>
414_AalaElKhani_2016X,now to know how to help families that have been through conflict support their children <unk> the first step must obviously be to ask them what they 're struggling with <unk>
415_AalaElKhani_2016X,right i mean it seems obvious but it 's often those that are the most vulnerable that we 're trying to support
416_AalaElKhani_2016X,<unk> that we actually don 't ask how many times have we just assumed we know exactly the right thing that 's going to help someone or something without actually asking them first
417_AalaElKhani_2016X,so i travelled to refugee camps in syria and in turkey <unk> and i sat with families and i listened
418_AalaElKhani_2016X,i listened to their parenting challenges i listened to their parenting struggles and i listened to their call for help and sometimes that was
419_AalaElKhani_2016X,<unk> just paused as all i could do was hold hands with them and just join them in silent crying and prayer
420_AalaElKhani_2016X,they told me about their struggles <unk> they told me about the rough <unk> harsh refugee camp conditions
421_AalaElKhani_2016X,that made it hard to focus on anything but practical chores like collecting clean water they told me how they watched their children withdraw <unk>
